"participant","sex","include","time","sets","leg","exercise","load"
"FP35","male","excl","post","single","L","legpress",NA
"FP35","male","excl","post","multiple","R","legext",NA
"FP35","male","excl","post","single","L","legext",NA
"FP2","female","incl","pre","multiple","R","legpress",140
"FP2","female","incl","pre","single","L","legpress",135
"FP2","female","incl","pre","multiple","R","legext",40
"FP2","female","incl","pre","single","L","legext",40
"FP2","female","incl","session1","multiple","R","legpress",155
"FP2","female","incl","session1","single","L","legpress",140
"FP2","female","incl","session1","multiple","R","legext",40
"FP2","female","incl","session1","single","L","legext",45
"FP2","female","incl","week2","multiple","R","legpress",185
"FP2","female","incl","week2","single","L","legpress",155
"FP2","female","incl","week2","multiple","R","legext",45
"FP2","female","incl","week2","single","L","legext",47.5
"FP2","female","incl","week5","multiple","R","legpress",NA
"FP2","female","incl","week5","single","L","legpress",NA
"FP2","female","incl","week5","multiple","R","legext",NA
"FP2","female","incl","week5","single","L","legext",NA
"FP2","female","incl","week9","multiple","R","legpress",NA
"FP2","female","incl","week9","single","L","legpress",NA
"FP2","female","incl","week9","multiple","R","legext",NA
"FP2","female","incl","week9","single","L","legext",NA
"FP2","female","incl","post","multiple","R","legpress",222.5
"FP2","female","incl","post","single","L","legpress",180
"FP2","female","incl","post","multiple","R","legext",60
"FP2","female","incl","post","single","L","legext",55
"FP32","female","incl","pre","multiple","R","legpress",170
"FP32","female","incl","pre","single","L","legpress",145
"FP32","female","incl","pre","multiple","R","legext",65
"FP32","female","incl","pre","single","L","legext",65
"FP32","female","incl","session1","multiple","R","legpress",185
"FP32","female","incl","session1","single","L","legpress",155
"FP32","female","incl","session1","multiple","R","legext",72.2
"FP32","female","incl","session1","single","L","legext",70
"FP32","female","incl","week2","multiple","R","legpress",190
"FP32","female","incl","week2","single","L","legpress",160
"FP32","female","incl","week2","multiple","R","legext",77.5
"FP32","female","incl","week2","single","L","legext",77.5
"FP32","female","incl","week5","multiple","R","legpress",NA
"FP32","female","incl","week5","single","L","legpress",NA
"FP32","female","incl","week5","multiple","R","legext",NA
"FP32","female","incl","week5","single","L","legext",NA
"FP32","female","incl","week9","multiple","R","legpress",NA
"FP32","female","incl","week9","single","L","legpress",NA
"FP32","female","incl","week9","multiple","R","legext",80
"FP32","female","incl","week9","single","L","legext",80
"FP32","female","incl","post","multiple","R","legpress",220
"FP32","female","incl","post","single","L","legpress",195
"FP32","female","incl","post","multiple","R","legext",95
"FP32","female","incl","post","single","L","legext",95
"FP20","female","incl","pre","single","R","legpress",100
"FP20","female","incl","pre","multiple","L","legpress",105
"FP20","female","incl","pre","single","R","legext",45
"FP20","female","incl","pre","multiple","L","legext",35
"FP20","female","incl","session1","single","R","legpress",120
"FP20","female","incl","session1","multiple","L","legpress",120
"FP20","female","incl","session1","single","R","legext",45
"FP20","female","incl","session1","multiple","L","legext",40
"FP20","female","incl","week2","single","R","legpress",125
"FP20","female","incl","week2","multiple","L","legpress",135
"FP20","female","incl","week2","single","R","legext",45
"FP20","female","incl","week2","multiple","L","legext",50
"FP20","female","incl","week5","single","R","legpress",NA
"FP20","female","incl","week5","multiple","L","legpress",NA
"FP20","female","incl","week5","single","R","legext",NA
"FP20","female","incl","week5","multiple","L","legext",NA
"FP20","female","incl","week9","single","R","legpress",NA
"FP20","female","incl","week9","multiple","L","legpress",NA
"FP20","female","incl","week9","single","R","legext",NA
"FP20","female","incl","week9","multiple","L","legext",NA
"FP20","female","incl","post","single","R","legpress",165
"FP20","female","incl","post","multiple","L","legpress",160
"FP20","female","incl","post","single","R","legext",65
"FP20","female","incl","post","multiple","L","legext",60
"FP31","male","incl","pre","single","R","legpress",320
"FP31","male","incl","pre","multiple","L","legpress",320
"FP31","male","incl","pre","single","R","legext",50
"FP31","male","incl","pre","multiple","L","legext",45
"FP31","male","incl","session1","single","R","legpress",365
"FP31","male","incl","session1","multiple","L","legpress",400
"FP31","male","incl","session1","single","R","legext",85
"FP31","male","incl","session1","multiple","L","legext",85
"FP31","male","incl","week2","single","R","legpress",365
"FP31","male","incl","week2","multiple","L","legpress",400
"FP31","male","incl","week2","single","R","legext",90
"FP31","male","incl","week2","multiple","L","legext",85
"FP31","male","incl","week5","single","R","legpress",NA
"FP31","male","incl","week5","multiple","L","legpress",NA
"FP31","male","incl","week5","single","R","legext",NA
"FP31","male","incl","week5","multiple","L","legext",NA
"FP31","male","incl","week9","single","R","legpress",NA
"FP31","male","incl","week9","multiple","L","legpress",NA
"FP31","male","incl","week9","single","R","legext",NA
"FP31","male","incl","week9","multiple","L","legext",NA
"FP31","male","incl","post","single","R","legpress",390
"FP31","male","incl","post","multiple","L","legpress",420
"FP31","male","incl","post","single","R","legext",NA
"FP31","male","incl","post","multiple","L","legext",NA
"FP46","female","incl","pre","multiple","R","legpress",125
"FP46","female","incl","pre","single","L","legpress",135
"FP46","female","incl","pre","multiple","R","legext",35
"FP46","female","incl","pre","single","L","legext",35
"FP46","female","incl","session1","multiple","R","legpress",130
"FP46","female","incl","session1","single","L","legpress",135
"FP46","female","incl","session1","multiple","R","legext",40
"FP46","female","incl","session1","single","L","legext",37.5
"FP46","female","incl","week2","multiple","R","legpress",165
"FP46","female","incl","week2","single","L","legpress",165
"FP46","female","incl","week2","multiple","R","legext",45
"FP46","female","incl","week2","single","L","legext",40
"FP46","female","incl","week5","multiple","R","legpress",NA
"FP46","female","incl","week5","single","L","legpress",NA
"FP46","female","incl","week5","multiple","R","legext",NA
"FP46","female","incl","week5","single","L","legext",NA
"FP46","female","incl","week9","multiple","R","legpress",NA
"FP46","female","incl","week9","single","L","legpress",NA
"FP46","female","incl","week9","multiple","R","legext",NA
"FP46","female","incl","week9","single","L","legext",NA
"FP46","female","incl","post","multiple","R","legpress",215
"FP46","female","incl","post","single","L","legpress",195
"FP46","female","incl","post","multiple","R","legext",45
"FP46","female","incl","post","single","L","legext",NA
"FP13","male","incl","pre","single","R","isok.60",217
"FP13","male","incl","pre","multiple","L","isok.60",215
"FP13","male","incl","pre","single","R","isok.120",174
"FP13","male","incl","pre","multiple","L","isok.120",165
"FP13","male","incl","pre","single","R","isok.240",131
"FP13","male","incl","pre","multiple","L","isok.240",128
"FP13","male","incl","pre","single","R","isom",219
"FP13","male","incl","pre","multiple","L","isom",206
"FP13","male","incl","pre","single","R","isom",220
"FP13","male","incl","pre","multiple","L","isom",202
"FP13","male","incl","session1","single","R","isok.60",190
"FP13","male","incl","session1","multiple","L","isok.60",217
"FP13","male","incl","session1","single","R","isok.120",176
"FP13","male","incl","session1","multiple","L","isok.120",177
"FP13","male","incl","session1","single","R","isok.240",142
"FP13","male","incl","session1","multiple","L","isok.240",128
"FP13","male","incl","session1","single","R","isom",236
"FP13","male","incl","session1","multiple","L","isom",219
"FP13","male","incl","session1","single","R","isom",234
"FP13","male","incl","session1","multiple","L","isom",202
"FP13","male","incl","week2","single","R","isok.60",216
"FP13","male","incl","week2","multiple","L","isok.60",245
"FP13","male","incl","week2","single","R","isok.120",193
"FP13","male","incl","week2","multiple","L","isok.120",194
"FP13","male","incl","week2","single","R","isok.240",145
"FP13","male","incl","week2","multiple","L","isok.240",146
"FP13","male","incl","week2","single","R","isom",246
"FP13","male","incl","week2","multiple","L","isom",231
"FP13","male","incl","week2","single","R","isom",232
"FP13","male","incl","week2","multiple","L","isom",235
"FP13","male","incl","week5","single","R","isok.60",238
"FP13","male","incl","week5","multiple","L","isok.60",247
"FP13","male","incl","week5","single","R","isok.120",205
"FP13","male","incl","week5","multiple","L","isok.120",191
"FP13","male","incl","week5","single","R","isok.240",145
"FP13","male","incl","week5","multiple","L","isok.240",137
"FP13","male","incl","week5","single","R","isom",294
"FP13","male","incl","week5","multiple","L","isom",291
"FP13","male","incl","week5","single","R","isom",283
"FP13","male","incl","week5","multiple","L","isom",298
"FP13","male","incl","week9","single","R","isok.60",233
"FP13","male","incl","week9","multiple","L","isok.60",260
"FP13","male","incl","week9","single","R","isok.120",220
"FP13","male","incl","week9","multiple","L","isok.120",206
"FP13","male","incl","week9","single","R","isok.240",168
"FP13","male","incl","week9","multiple","L","isok.240",142
"FP13","male","incl","week9","single","R","isom",315
"FP13","male","incl","week9","multiple","L","isom",295
"FP13","male","incl","week9","single","R","isom",278
"FP13","male","incl","week9","multiple","L","isom",294
"FP13","male","incl","post","single","R","isok.60",297
"FP13","male","incl","post","multiple","L","isok.60",281
"FP13","male","incl","post","single","R","isok.120",229
"FP13","male","incl","post","multiple","L","isok.120",209
"FP13","male","incl","post","single","R","isok.240",156
"FP13","male","incl","post","multiple","L","isok.240",159
"FP13","male","incl","post","single","R","isom",334
"FP13","male","incl","post","multiple","L","isom",325
"FP13","male","incl","post","single","R","isom",292
"FP13","male","incl","post","multiple","L","isom",264
"FP1","male","excl","pre","single","R","isok.60",254
"FP1","male","excl","pre","multiple","L","isok.60",211
"FP1","male","excl","pre","single","R","isok.120",194
"FP1","male","excl","pre","multiple","L","isok.120",167
"FP1","male","excl","pre","single","R","isok.240",115
"FP1","male","excl","pre","multiple","L","isok.240",114
"FP1","male","excl","pre","single","R","isom",277
"FP1","male","excl","pre","multiple","L","isom",274
"FP1","male","excl","pre","single","R","isom",310
"FP1","male","excl","pre","multiple","L","isom",294
"FP1","male","excl","session1","single","R","isok.60",239
"FP1","male","excl","session1","multiple","L","isok.60",199
"FP1","male","excl","session1","single","R","isok.120",174
"FP1","male","excl","session1","multiple","L","isok.120",153
"FP1","male","excl","session1","single","R","isok.240",131
"FP1","male","excl","session1","multiple","L","isok.240",95
"FP1","male","excl","session1","single","R","isom",312
"FP1","male","excl","session1","multiple","L","isom",262
"FP1","male","excl","session1","single","R","isom",305
"FP1","male","excl","session1","multiple","L","isom",290
"FP1","male","excl","week2","single","R","isok.60",236
"FP1","male","excl","week2","multiple","L","isok.60",174
"FP1","male","excl","week2","single","R","isok.120",186
"FP1","male","excl","week2","multiple","L","isok.120",155
"FP1","male","excl","week2","single","R","isok.240",136
"FP1","male","excl","week2","multiple","L","isok.240",113
"FP1","male","excl","week2","single","R","isom",327
"FP1","male","excl","week2","multiple","L","isom",280
"FP1","male","excl","week2","single","R","isom",344
"FP1","male","excl","week2","multiple","L","isom",293
"FP1","male","excl","week5","single","R","isok.60",259
"FP1","male","excl","week5","multiple","L","isok.60",225
"FP1","male","excl","week5","single","R","isok.120",198
"FP1","male","excl","week5","multiple","L","isok.120",184
"FP1","male","excl","week5","single","R","isok.240",134
"FP1","male","excl","week5","multiple","L","isok.240",107
"FP1","male","excl","week5","single","R","isom",341
"FP1","male","excl","week5","multiple","L","isom",286
"FP1","male","excl","week5","single","R","isom",322
"FP1","male","excl","week5","multiple","L","isom",300
"FP1","male","excl","week9","single","R","isok.60",259
"FP1","male","excl","week9","multiple","L","isok.60",238
"FP1","male","excl","week9","single","R","isok.120",210
"FP1","male","excl","week9","multiple","L","isok.120",201
"FP1","male","excl","week9","single","R","isok.240",143
"FP1","male","excl","week9","multiple","L","isok.240",144
"FP1","male","excl","week9","single","R","isom",304
"FP1","male","excl","week9","multiple","L","isom",297
"FP1","male","excl","week9","single","R","isom",292
"FP1","male","excl","week9","multiple","L","isom",NA
"FP1","male","excl","post","single","R","isok.60",232
"FP1","male","excl","post","multiple","L","isok.60",235
"FP1","male","excl","post","single","R","isok.120",212
"FP1","male","excl","post","multiple","L","isok.120",209
"FP1","male","excl","post","single","R","isok.240",151
"FP1","male","excl","post","multiple","L","isok.240",146
"FP1","male","excl","post","single","R","isom",314
"FP1","male","excl","post","multiple","L","isom",300
"FP1","male","excl","post","single","R","isom",319
"FP1","male","excl","post","multiple","L","isom",320
"FP16","female","incl","pre","single","R","isok.60",121
"FP16","female","incl","pre","multiple","L","isok.60",116
"FP16","female","incl","pre","single","R","isok.120",92
"FP16","female","incl","pre","multiple","L","isok.120",89
"FP16","female","incl","pre","single","R","isok.240",62
"FP16","female","incl","pre","multiple","L","isok.240",59
"FP16","female","incl","pre","single","R","isom",159
"FP16","female","incl","pre","multiple","L","isom",148
"FP16","female","incl","pre","single","R","isom",150
"FP16","female","incl","pre","multiple","L","isom",153
"FP16","female","incl","session1","single","R","isok.60",130
"FP16","female","incl","session1","multiple","L","isok.60",115
"FP16","female","incl","session1","single","R","isok.120",93
"FP16","female","incl","session1","multiple","L","isok.120",87
"FP16","female","incl","session1","single","R","isok.240",61
"FP16","female","incl","session1","multiple","L","isok.240",53
"FP16","female","incl","session1","single","R","isom",197
"FP16","female","incl","session1","multiple","L","isom",153
"FP16","female","incl","session1","single","R","isom",193
"FP16","female","incl","session1","multiple","L","isom",130
"FP16","female","incl","week2","single","R","isok.60",53
"FP16","female","incl","week2","multiple","L","isok.60",138
"FP16","female","incl","week2","single","R","isok.120",108
"FP16","female","incl","week2","multiple","L","isok.120",109
"FP16","female","incl","week2","single","R","isok.240",68
"FP16","female","incl","week2","multiple","L","isok.240",72
"FP16","female","incl","week2","single","R","isom",191
"FP16","female","incl","week2","multiple","L","isom",168
"FP16","female","incl","week2","single","R","isom",197
"FP16","female","incl","week2","multiple","L","isom",164
"FP16","female","incl","week5","single","R","isok.60",135
"FP16","female","incl","week5","multiple","L","isok.60",147
"FP16","female","incl","week5","single","R","isok.120",111
"FP16","female","incl","week5","multiple","L","isok.120",107
"FP16","female","incl","week5","single","R","isok.240",77
"FP16","female","incl","week5","multiple","L","isok.240",71
"FP16","female","incl","week5","single","R","isom",216
"FP16","female","incl","week5","multiple","L","isom",208
"FP16","female","incl","week5","single","R","isom",226
"FP16","female","incl","week5","multiple","L","isom",226
"FP16","female","incl","week9","single","R","isok.60",133
"FP16","female","incl","week9","multiple","L","isok.60",132
"FP16","female","incl","week9","single","R","isok.120",114
"FP16","female","incl","week9","multiple","L","isok.120",115
"FP16","female","incl","week9","single","R","isok.240",73
"FP16","female","incl","week9","multiple","L","isok.240",77
"FP16","female","incl","week9","single","R","isom",208
"FP16","female","incl","week9","multiple","L","isom",233
"FP16","female","incl","week9","single","R","isom",203
"FP16","female","incl","week9","multiple","L","isom",241
"FP16","female","incl","post","single","R","isok.60",135
"FP16","female","incl","post","multiple","L","isok.60",146
"FP16","female","incl","post","single","R","isok.120",116
"FP16","female","incl","post","multiple","L","isok.120",111
"FP16","female","incl","post","single","R","isok.240",77
"FP16","female","incl","post","multiple","L","isok.240",79
"FP16","female","incl","post","single","R","isom",246
"FP16","female","incl","post","multiple","L","isom",273
"FP16","female","incl","post","single","R","isom",250
"FP16","female","incl","post","multiple","L","isom",264
"FP17","male","incl","pre","multiple","R","isok.60",221
"FP17","male","incl","pre","single","L","isok.60",248
"FP17","male","incl","pre","multiple","R","isok.120",169
"FP17","male","incl","pre","single","L","isok.120",194
"FP17","male","incl","pre","multiple","R","isok.240",108
"FP17","male","incl","pre","single","L","isok.240",118
"FP17","male","incl","pre","multiple","R","isom",311
"FP17","male","incl","pre","single","L","isom",311
"FP17","male","incl","pre","multiple","R","isom",316
"FP17","male","incl","pre","single","L","isom",318
"FP17","male","incl","session1","multiple","R","isok.60",244
"FP17","male","incl","session1","single","L","isok.60",247
"FP17","male","incl","session1","multiple","R","isok.120",191
"FP17","male","incl","session1","single","L","isok.120",202
"FP17","male","incl","session1","multiple","R","isok.240",144
"FP17","male","incl","session1","single","L","isok.240",122
"FP17","male","incl","session1","multiple","R","isom",334
"FP17","male","incl","session1","single","L","isom",298
"FP17","male","incl","session1","multiple","R","isom",302
"FP17","male","incl","session1","single","L","isom",305
"FP17","male","incl","week2","multiple","R","isok.60",235
"FP17","male","incl","week2","single","L","isok.60",215
"FP17","male","incl","week2","multiple","R","isok.120",188
"FP17","male","incl","week2","single","L","isok.120",170
"FP17","male","incl","week2","multiple","R","isok.240",107
"FP17","male","incl","week2","single","L","isok.240",79
"FP17","male","incl","week2","multiple","R","isom",281
"FP17","male","incl","week2","single","L","isom",265
"FP17","male","incl","week2","multiple","R","isom",271
"FP17","male","incl","week2","single","L","isom",283
"FP17","male","incl","week5","multiple","R","isok.60",242
"FP17","male","incl","week5","single","L","isok.60",227
"FP17","male","incl","week5","multiple","R","isok.120",204
"FP17","male","incl","week5","single","L","isok.120",202
"FP17","male","incl","week5","multiple","R","isok.240",142
"FP17","male","incl","week5","single","L","isok.240",157
"FP17","male","incl","week5","multiple","R","isom",318
"FP17","male","incl","week5","single","L","isom",325
"FP17","male","incl","week5","multiple","R","isom",315
"FP17","male","incl","week5","single","L","isom",343
"FP17","male","incl","week9","multiple","R","isok.60",238
"FP17","male","incl","week9","single","L","isok.60",234
"FP17","male","incl","week9","multiple","R","isok.120",208
"FP17","male","incl","week9","single","L","isok.120",197
"FP17","male","incl","week9","multiple","R","isok.240",144
"FP17","male","incl","week9","single","L","isok.240",149
"FP17","male","incl","week9","multiple","R","isom",296
"FP17","male","incl","week9","single","L","isom",356
"FP17","male","incl","week9","multiple","R","isom",266
"FP17","male","incl","week9","single","L","isom",338
"FP17","male","incl","post","multiple","R","isok.60",235
"FP17","male","incl","post","single","L","isok.60",223
"FP17","male","incl","post","multiple","R","isok.120",200
"FP17","male","incl","post","single","L","isok.120",186
"FP17","male","incl","post","multiple","R","isok.240",131
"FP17","male","incl","post","single","L","isok.240",135
"FP17","male","incl","post","multiple","R","isom",344
"FP17","male","incl","post","single","L","isom",322
"FP17","male","incl","post","multiple","R","isom",327
"FP17","male","incl","post","single","L","isom",304
"FP12","female","incl","pre","multiple","R","isok.60",194
"FP12","female","incl","pre","single","L","isok.60",213
"FP12","female","incl","pre","multiple","R","isok.120",167
"FP12","female","incl","pre","single","L","isok.120",159
"FP12","female","incl","pre","multiple","R","isok.240",118
"FP12","female","incl","pre","single","L","isok.240",109
"FP12","female","incl","pre","multiple","R","isom",312
"FP12","female","incl","pre","single","L","isom",244
"FP12","female","incl","pre","multiple","R","isom",302
"FP12","female","incl","pre","single","L","isom",247
"FP12","female","incl","session1","multiple","R","isok.60",229
"FP12","female","incl","session1","single","L","isok.60",210
"FP12","female","incl","session1","multiple","R","isok.120",180
"FP12","female","incl","session1","single","L","isok.120",159
"FP12","female","incl","session1","multiple","R","isok.240",111
"FP12","female","incl","session1","single","L","isok.240",104
"FP12","female","incl","session1","multiple","R","isom",294
"FP12","female","incl","session1","single","L","isom",281
"FP12","female","incl","session1","multiple","R","isom",296
"FP12","female","incl","session1","single","L","isom",298
"FP12","female","incl","week2","multiple","R","isok.60",235
"FP12","female","incl","week2","single","L","isok.60",229
"FP12","female","incl","week2","multiple","R","isok.120",175
"FP12","female","incl","week2","single","L","isok.120",169
"FP12","female","incl","week2","multiple","R","isok.240",126
"FP12","female","incl","week2","single","L","isok.240",111
"FP12","female","incl","week2","multiple","R","isom",313
"FP12","female","incl","week2","single","L","isom",307
"FP12","female","incl","week2","multiple","R","isom",286
"FP12","female","incl","week2","single","L","isom",287
"FP12","female","incl","week5","multiple","R","isok.60",236
"FP12","female","incl","week5","single","L","isok.60",211
"FP12","female","incl","week5","multiple","R","isok.120",180
"FP12","female","incl","week5","single","L","isok.120",160
"FP12","female","incl","week5","multiple","R","isok.240",124
"FP12","female","incl","week5","single","L","isok.240",95
"FP12","female","incl","week5","multiple","R","isom",252
"FP12","female","incl","week5","single","L","isom",271
"FP12","female","incl","week5","multiple","R","isom",260
"FP12","female","incl","week5","single","L","isom",NA
"FP12","female","incl","week9","multiple","R","isok.60",260
"FP12","female","incl","week9","single","L","isok.60",236
"FP12","female","incl","week9","multiple","R","isok.120",200
"FP12","female","incl","week9","single","L","isok.120",194
"FP12","female","incl","week9","multiple","R","isok.240",133
"FP12","female","incl","week9","single","L","isok.240",119
"FP12","female","incl","week9","multiple","R","isom",322
"FP12","female","incl","week9","single","L","isom",313
"FP12","female","incl","week9","multiple","R","isom",303
"FP12","female","incl","week9","single","L","isom",291
"FP12","female","incl","post","multiple","R","isok.60",262
"FP12","female","incl","post","single","L","isok.60",235
"FP12","female","incl","post","multiple","R","isok.120",215
"FP12","female","incl","post","single","L","isok.120",206
"FP12","female","incl","post","multiple","R","isok.240",142
"FP12","female","incl","post","single","L","isok.240",136
"FP12","female","incl","post","multiple","R","isom",306
"FP12","female","incl","post","single","L","isom",311
"FP12","female","incl","post","multiple","R","isom",321
"FP12","female","incl","post","single","L","isom",305
"FP11","male","incl","pre","multiple","R","isok.60",214
"FP11","male","incl","pre","single","L","isok.60",239
"FP11","male","incl","pre","multiple","R","isok.120",193
"FP11","male","incl","pre","single","L","isok.120",173
"FP11","male","incl","pre","multiple","R","isok.240",142
"FP11","male","incl","pre","single","L","isok.240",113
"FP11","male","incl","pre","multiple","R","isom",264
"FP11","male","incl","pre","single","L","isom",254
"FP11","male","incl","pre","multiple","R","isom",261
"FP11","male","incl","pre","single","L","isom",257
"FP11","male","incl","session1","multiple","R","isok.60",195
"FP11","male","incl","session1","single","L","isok.60",189
"FP11","male","incl","session1","multiple","R","isok.120",181
"FP11","male","incl","session1","single","L","isok.120",176
"FP11","male","incl","session1","multiple","R","isok.240",141
"FP11","male","incl","session1","single","L","isok.240",129
"FP11","male","incl","session1","multiple","R","isom",250
"FP11","male","incl","session1","single","L","isom",256
"FP11","male","incl","session1","multiple","R","isom",236
"FP11","male","incl","session1","single","L","isom",248
"FP11","male","incl","week2","multiple","R","isok.60",214
"FP11","male","incl","week2","single","L","isok.60",207
"FP11","male","incl","week2","multiple","R","isok.120",213
"FP11","male","incl","week2","single","L","isok.120",183
"FP11","male","incl","week2","multiple","R","isok.240",159
"FP11","male","incl","week2","single","L","isok.240",139
"FP11","male","incl","week2","multiple","R","isom",313
"FP11","male","incl","week2","single","L","isom",273
"FP11","male","incl","week2","multiple","R","isom",291
"FP11","male","incl","week2","single","L","isom",272
"FP11","male","incl","week5","multiple","R","isok.60",250
"FP11","male","incl","week5","single","L","isok.60",248
"FP11","male","incl","week5","multiple","R","isok.120",239
"FP11","male","incl","week5","single","L","isok.120",206
"FP11","male","incl","week5","multiple","R","isok.240",175
"FP11","male","incl","week5","single","L","isok.240",149
"FP11","male","incl","week5","multiple","R","isom",316
"FP11","male","incl","week5","single","L","isom",289
"FP11","male","incl","week5","multiple","R","isom",289
"FP11","male","incl","week5","single","L","isom",270
"FP11","male","incl","week9","multiple","R","isok.60",243
"FP11","male","incl","week9","single","L","isok.60",236
"FP11","male","incl","week9","multiple","R","isok.120",232
"FP11","male","incl","week9","single","L","isok.120",184
"FP11","male","incl","week9","multiple","R","isok.240",158
"FP11","male","incl","week9","single","L","isok.240",139
"FP11","male","incl","week9","multiple","R","isom",299
"FP11","male","incl","week9","single","L","isom",186
"FP11","male","incl","week9","multiple","R","isom",257
"FP11","male","incl","week9","single","L","isom",294
"FP11","male","incl","post","multiple","R","isok.60",230
"FP11","male","incl","post","single","L","isok.60",226
"FP11","male","incl","post","multiple","R","isok.120",229
"FP11","male","incl","post","single","L","isok.120",202
"FP11","male","incl","post","multiple","R","isok.240",166
"FP11","male","incl","post","single","L","isok.240",146
"FP11","male","incl","post","multiple","R","isom",290
"FP11","male","incl","post","single","L","isom",292
"FP11","male","incl","post","multiple","R","isom",299
"FP11","male","incl","post","single","L","isom",270
"FP9","male","incl","pre","multiple","R","isok.60",274
"FP9","male","incl","pre","single","L","isok.60",219
"FP9","male","incl","pre","multiple","R","isok.120",213
"FP9","male","incl","pre","single","L","isok.120",196
"FP9","male","incl","pre","multiple","R","isok.240",163
"FP9","male","incl","pre","single","L","isok.240",156
"FP9","male","incl","pre","multiple","R","isom",310
"FP9","male","incl","pre","single","L","isom",292
"FP9","male","incl","pre","multiple","R","isom",314
"FP9","male","incl","pre","single","L","isom",269
"FP9","male","incl","session1","multiple","R","isok.60",260
"FP9","male","incl","session1","single","L","isok.60",256
"FP9","male","incl","session1","multiple","R","isok.120",220
"FP9","male","incl","session1","single","L","isok.120",185
"FP9","male","incl","session1","multiple","R","isok.240",162
"FP9","male","incl","session1","single","L","isok.240",133
"FP9","male","incl","session1","multiple","R","isom",358
"FP9","male","incl","session1","single","L","isom",347
"FP9","male","incl","session1","multiple","R","isom",326
"FP9","male","incl","session1","single","L","isom",340
"FP9","male","incl","week2","multiple","R","isok.60",254
"FP9","male","incl","week2","single","L","isok.60",239
"FP9","male","incl","week2","multiple","R","isok.120",207
"FP9","male","incl","week2","single","L","isok.120",196
"FP9","male","incl","week2","multiple","R","isok.240",141
"FP9","male","incl","week2","single","L","isok.240",139
"FP9","male","incl","week2","multiple","R","isom",322
"FP9","male","incl","week2","single","L","isom",322
"FP9","male","incl","week2","multiple","R","isom",336
"FP9","male","incl","week2","single","L","isom",315
"FP9","male","incl","week5","multiple","R","isok.60",242
"FP9","male","incl","week5","single","L","isok.60",261
"FP9","male","incl","week5","multiple","R","isok.120",226
"FP9","male","incl","week5","single","L","isok.120",198
"FP9","male","incl","week5","multiple","R","isok.240",149
"FP9","male","incl","week5","single","L","isok.240",140
"FP9","male","incl","week5","multiple","R","isom",340
"FP9","male","incl","week5","single","L","isom",328
"FP9","male","incl","week5","multiple","R","isom",360
"FP9","male","incl","week5","single","L","isom",373
"FP9","male","incl","week9","multiple","R","isok.60",279
"FP9","male","incl","week9","single","L","isok.60",255
"FP9","male","incl","week9","multiple","R","isok.120",215
"FP9","male","incl","week9","single","L","isok.120",211
"FP9","male","incl","week9","multiple","R","isok.240",176
"FP9","male","incl","week9","single","L","isok.240",150
"FP9","male","incl","week9","multiple","R","isom",344
"FP9","male","incl","week9","single","L","isom",348
"FP9","male","incl","week9","multiple","R","isom",284
"FP9","male","incl","week9","single","L","isom",320
"FP9","male","incl","post","multiple","R","isok.60",305
"FP9","male","incl","post","single","L","isok.60",274
"FP9","male","incl","post","multiple","R","isok.120",238
"FP9","male","incl","post","single","L","isok.120",223
"FP9","male","incl","post","multiple","R","isok.240",177
"FP9","male","incl","post","single","L","isok.240",148
"FP9","male","incl","post","multiple","R","isom",387
"FP9","male","incl","post","single","L","isom",365
"FP9","male","incl","post","multiple","R","isom",370
"FP9","male","incl","post","single","L","isom",375
"FP14","female","incl","pre","multiple","R","isok.60",151
"FP14","female","incl","pre","single","L","isok.60",148
"FP14","female","incl","pre","multiple","R","isok.120",89
"FP14","female","incl","pre","single","L","isok.120",116
"FP14","female","incl","pre","multiple","R","isok.240",73
"FP14","female","incl","pre","single","L","isok.240",77
"FP14","female","incl","pre","multiple","R","isom",186
"FP14","female","incl","pre","single","L","isom",198
"FP14","female","incl","pre","multiple","R","isom",193
"FP14","female","incl","pre","single","L","isom",196
"FP14","female","incl","session1","multiple","R","isok.60",140
"FP14","female","incl","session1","single","L","isok.60",130
"FP14","female","incl","session1","multiple","R","isok.120",11
"FP14","female","incl","session1","single","L","isok.120",115
"FP14","female","incl","session1","multiple","R","isok.240",79
"FP14","female","incl","session1","single","L","isok.240",80
"FP14","female","incl","session1","multiple","R","isom",197
"FP14","female","incl","session1","single","L","isom",190
"FP14","female","incl","session1","multiple","R","isom",190
"FP14","female","incl","session1","single","L","isom",179
"FP14","female","incl","week2","multiple","R","isok.60",144
"FP14","female","incl","week2","single","L","isok.60",132
"FP14","female","incl","week2","multiple","R","isok.120",124
"FP14","female","incl","week2","single","L","isok.120",115
"FP14","female","incl","week2","multiple","R","isok.240",81
"FP14","female","incl","week2","single","L","isok.240",81
"FP14","female","incl","week2","multiple","R","isom",208
"FP14","female","incl","week2","single","L","isom",210
"FP14","female","incl","week2","multiple","R","isom",201
"FP14","female","incl","week2","single","L","isom",209
"FP14","female","incl","week5","multiple","R","isok.60",146
"FP14","female","incl","week5","single","L","isok.60",138
"FP14","female","incl","week5","multiple","R","isok.120",121
"FP14","female","incl","week5","single","L","isok.120",110
"FP14","female","incl","week5","multiple","R","isok.240",82
"FP14","female","incl","week5","single","L","isok.240",78
"FP14","female","incl","week5","multiple","R","isom",206
"FP14","female","incl","week5","single","L","isom",233
"FP14","female","incl","week5","multiple","R","isom",224
